offset	next_record_offset	type_code	verdict	path	declared_length	metadata_length	payload_count	payload_tags	payload_offsets	payload_lengths	payload_hashes	xattr_names
13374294602	13374295120	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhoAreYou.patternxml	252	252	1	DATA	13374294854	266	None	
13374295120	13374295665	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhoAreYouVotingFor.patternxml	261	261	1	DATA	13374295381	284	None	
13374295665	13374296183	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhoIsSiri.patternxml	252	252	1	DATA	13374295917	266	None	
13374296183	13374296737	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhoIsTheBestAssistant.patternxml	264	264	1	DATA	13374296447	290	None	
13374296737	13374297273	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhoIsTheFairest.patternxml	258	258	1	DATA	13374296995	278	None	
13374297273	13374297803	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhoIsYourBoss.patternxml	256	256	1	DATA	13374297529	274	None	
13374297803	13374298345	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhoIsYourFavorite.patternxml	260	260	1	DATA	13374298063	282	None	
13374298345	13374298890	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhoIsYourValentine.patternxml	261	261	1	DATA	13374298606	284	None	
13374298890	13374299426	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhyAmISexuality.patternxml	258	258	1	DATA	13374299148	278	None	
13374299426	13374299974	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhyAreFireTrucksRed.patternxml	262	262	1	DATA	13374299688	286	None	
13374299974	13374300513	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhyDidTheChicken.patternxml	259	259	1	DATA	13374300233	280	None	
13374300513	13374301076	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhyDidYouChangeYourVoice.patternxml	267	267	1	DATA	13374300780	296	None	
13374301076	13374301665	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhyDoBlackLivesMatterFollowUp.patternxml	283	283	1	DATA	13374301359	306	None	
13374301665	13374302195	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhyDoYouExist.patternxml	256	256	1	DATA	13374301921	274	None	
13374302195	13374302743	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhyDontIHaveFriends.patternxml	262	262	1	DATA	13374302457	286	None	
13374302743	13374303291	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhyIsBeingGayNormal.patternxml	262	262	1	DATA	13374303005	286	None	
